编号,分层,权重,上下文,原文,当前译文,审校者A评分,审校者A理由,审校者B评分,审校者B理由,裁决评分,裁决理由
P6-0001,A-化学参数,3,AdcTab,Spin-Orbit Coupling,自旋-轨道耦合,0,,0,,0,
P6-0002,A-化学参数,3,AimdTab,Method,方法,0,,0,,0,
P6-0003,A-化学参数,3,AuxiliaryBasisTab,RI Fitting Basis,RI 拟合基组,0,,0,,0,
P6-0004,A-化学参数,3,CisTab,Spin Flip,自旋翻转,0,,0,,0,
P6-0005,A-化学参数,2,FragmentTable,Functional Group,官能团,0,,0,,0,
P6-0006,A-化学参数,2,FragmentTable,Functional Group,官能团,0,,0,,0,
P6-0007,A-化学参数,2,FragmentTable,Functional Groups,官能团,0,,0,,0,
P6-0008,A-化学参数,3,FreezingStringTab,Opt Method,优化方法,0,,0,,0,
P6-0009,A-化学参数,3,GeminalOrbitalsConfigurator,Spin Density,自旋密度,0,,0,,0,
P6-0010,A-化学参数,3,GeminalOrbitalsConfigurator,Spin-Only Density,纯自旋密度,0,,0,,0,
P6-0011,A-化学参数,3,IQmol::Configurator::Orbitals,Basis Function,基函数,0,,0,,0,
P6-0012,A-化学参数,3,IQmol::Data::SurfaceType,Spin Density,自旋密度,0,,0,,0,
P6-0013,A-化学参数,3,IQmol::Data::SurfaceType,Basis Function,基函数,0,,0,,0,
P6-0014,A-化学参数,3,IQmol::MainWindow,Partial Charge,部分电荷,0,,0,,0,
P6-0015,A-化学参数,3,IQmol::MainWindow,Spin Densities,自旋密度,0,,0,,0,
P6-0016,A-化学参数,3,InfoConfigurator,Total charge:,总电荷：,0,,0,,0,
P6-0017,A-化学参数,3,InfoConfigurator,Multiplicity:,多重度：,0,,0,,0,
P6-0018,A-化学参数,3,MainWindow,Method,方法,0,,0,,0,
P6-0019,A-化学参数,3,MainWindow,Basis,基组,0,,0,,0,
P6-0020,A-化学参数,3,MainWindow,Multiplicity,多重度,0,,0,,0,
P6-0021,A-化学参数,3,MainWindow,Charge,电荷,0,,0,,0,
P6-0022,A-化学参数,3,MainWindow,Second Basis,第二基组,0,,0,,0,
P6-0023,A-化学参数,3,MainWindow,Dual Basis Energy,双基组能量,0,,0,,0,
P6-0024,A-化学参数,3,MainWindow,Basis Projection,基组投影,0,,0,,0,
P6-0025,A-化学参数,3,MainWindow,MOM Method,MOM 方法,0,,0,,0,
P6-0026,A-化学参数,3,MainWindow,Print General Basis,打印常规基组,0,,0,,0,
P6-0027,A-化学参数,3,MainWindow,HFPT Basis,HFPT 基组,0,,0,,0,
P6-0028,A-化学参数,3,MainWindow,PAO Method,PAO 方法,0,,0,,0,
P6-0029,A-化学参数,3,MainWindow,Functional,泛函,0,,0,,0,
P6-0030,A-化学参数,3,MainWindow,DIIS Method,DIIS 方法,0,,0,,0,
P6-0031,A-化学参数,3,MainWindow,Multiplicity,多重度,0,,0,,0,
P6-0032,A-化学参数,3,MainWindow,Solvent Method,溶剂方法,0,,0,,0,
P6-0033,A-化学参数,3,MainWindow,Charge Convergence,电荷收敛,0,,0,,0,
P6-0034,A-化学参数,2,MolecularGridEvaluator,Computing basis functions on grid %1,正在计算网格 %1 的基函数,0,,0,,0,
P6-0035,A-化学参数,3,NmrConfigurator,Method,方法,0,,0,,0,
P6-0036,A-化学参数,3,OrbitalsConfigurator,Spin Density,自旋密度,0,,0,,0,
P6-0037,A-化学参数,3,OrbitalsConfigurator,Spin-Only Density,纯自旋密度,0,,0,,0,
P6-0038,A-化学参数,3,ParametrizeMoleculeDialog,Charge,电荷,0,,0,,0,
P6-0039,A-化学参数,3,ParametrizeMoleculeDialog,Multiplicity,多重度,0,,0,,0,
P6-0040,A-化学参数,3,ParametrizeMoleculeDialog,Multiplicity,多重度,0,,0,,0,
P6-0041,B-错误信息,3,IQmol::Layer::Constraint,Invalid,无效,0,,0,,0,
P6-0042,B-错误信息,3,IQmol::Qui::LJParametersSection,LJ Parameter Error,LJ 参数错误,0,,0,,0,
P6-0043,B-错误信息,3,IQmol::Qui::MoleculeSection,Parse Error,解析错误,0,,0,,0,
P6-0044,B-错误信息,3,IQmol::Qui::RemSection,"An error occured when parsing the following options:
","解析以下选项时出错：
",0,,0,,0,
